CycleNo,Navg
113877,-7134.738561
115046,-6715.210207
115132,-3681.933657
115566,-4461.096323
119783,-6022.548376
120491,-5294.907537
120763,-6434.491604
120843,-4083.063550
121433,-4083.063550
122625,-4737.178805
123833,-4793.857471
124440,-6595.968126
124815,-6337.300502
125191,-6324.370838
125238,-4533.410133
125607,-4533.410133
125636,-4132.389670
125803,-6772.189741
126635,-6525.004232
126899,-5917.485310
127076,-4172.741724
127123,-4761.588607
127753,-4173.503147
128213,-6031.443881
128560,-4490.467599
129138,-4155.876864
129649,-5568.781474
130686,-7046.718501
131060,-5860.957909
131975,-5321.409102
132496,-5336.150509
133947,-6706.539706
134701,-5703.349961
135173,-4581.366930
135311,-5879.104389
136730,-4580.896851
137288,-6045.384631
137385,-5093.770676
137416,-5681.656737
137898,-4155.246397
138195,-5990.487158
138442,-4459.420257
138818,-5574.725963
139366,-5351.720628
140422,-4262.023019
140479,-4283.719059
140562,-4264.332432
140649,-4281.409645
140769,-5023.958632
141457,-5276.546046
141972,-4423.062611
142164,-4748.370162
142801,-4593.585291
143401,-4423.131722
144041,-4191.840667
144316,-4991.464726
144336,-4191.840667
144383,-5529.414118
144404,-6288.938979
145369,-6809.470867
145611,-6165.628079
146085,-4176.967830
146287,-4138.485375
148703,-3913.036029
150393,-6357.378753
151141,-4292.694262
151528,-4292.694262
151847,-5374.429751
152152,-3913.036029
153039,-5889.389900
156642,-4557.479480
156675,-4557.479480
157387,-4798.547467
157854,-4295.368024
157887,-6269.192982
157945,-4506.597298
158312,-4235.512751
159000,-4277.802781
160406,-6109.792350
161308,-4201.505819
161724,-5270.422544
161981,-4200.930808
162122,-6206.761174
162356,-4669.702755
162895,-4849.455157
162927,-5596.967407
163129,-5759.231419
164276,-5468.598997
164435,-4643.259034
165493,-5687.122814
166309,-4412.656608
167624,-4412.656608
168206,-5912.500764
168376,-5388.357932
168701,-4934.875870
168834,-4860.774601
168988,-4934.875870
169875,-4310.673668
170436,-4145.872932
170441,-4774.160063
170493,-4141.407423
170642,-4145.872932
170654,-4141.407423
170850,-5775.479784
170934,-5439.588858
171157,-4437.075573
172182,-5212.979792
172755,-4445.204785
173205,-6544.336187
174655,-3333.173927
174965,-5390.001904
175587,-4125.705268
175983,-3333.173927
176141,-4125.705268
177164,-6558.495306
178649,-6020.200784
180675,-5445.858565
182029,-5895.863744
182725,-5997.712107
183060,-4256.383375
183112,-5199.258927
183176,-4899.329405
183375,-5183.223853
183548,-6197.102668
184021,-4257.410648
184513,-5360.865867
184940,-5380.830141
185246,-4890.141452
186684,-5041.561942
186810,-4794.808515
188078,-6629.069658
189553,-4163.766547
189869,-4163.766547
190009,-4812.860517
190382,-6543.675348
190548,-4890.182566
190992,-5759.575310
191221,-6962.105609
191247,-3776.150447
191758,-4269.020727
191846,-3777.865399
192530,-5926.648495
192678,-4210.979212
192679,-5370.404705
192771,-4210.979212
193340,-4271.961123
193814,-5369.001291
194009,-6029.100724
194250,-5049.730726
197544,-5897.047960
198287,-5748.226402
198335,-5795.546392
198724,-7152.955407
199029,-4823.444860
200272,-5170.394959
201632,-5189.716224
202167,-4896.782507
202493,-6530.559169
202878,-5731.757985
204045,-4763.827426
204299,-5064.971412
204701,-6407.645057
204766,-7183.521145
204822,-4882.321218
205494,-7217.767504
206310,-5981.205706
206613,-4204.339607
206781,-5791.682127
207367,-6321.151836
207533,-4463.740487
207692,-5920.488404
210218,-4763.037746
211367,-4965.500515
215213,-4226.286366
217312,-4226.286366
217506,-4377.639836
217782,-4377.639836
217854,-7107.778551
218561,-5728.535171
219481,-7309.257758
220326,-6146.828441
222480,-4210.922575
224221,-5489.660458
224344,-5690.119050
224501,-6492.267291
224942,-4212.079005
226273,-4065.525690
226511,-4065.525690
226925,-5179.845474
226975,-6039.757523
227807,-3353.126759
227922,-3353.126759
228084,-5871.306356
228583,-6862.546770
229325,-5944.726370
231832,-7091.298894
232008,-5937.050479
232916,-4078.273305
233368,-4999.630201
233690,-5337.989004
234229,-4665.179511
235008,-4755.876071
235277,-4438.425785
235353,-4755.876071
235846,-4665.179511
236237,-5403.211857
238002,-5890.749620
238021,-5796.372335
238036,-3935.806403
238336,-5310.394985
238711,-3249.364904
238816,-3938.514358
240760,-4180.677767
241055,-5802.819724
241765,-4251.394631
241944,-4161.469865
243342,-4825.159597
245182,-4825.159597
245775,-5102.304522
246071,-5107.037237
249512,-5543.042513
250031,-5131.788677
250315,-5962.932108
250641,-6886.915229
250958,-6713.260075
251154,-6944.361430
252418,-4884.266065
256751,-4884.266065
257267,-5698.780389
258397,-3819.798226
258420,-3819.798226
258456,-5716.488641
258753,-6795.786311
259165,-6149.465401
260818,-6032.090229
261266,-4172.977830
262361,-4864.357595
262566,-4172.977830
262812,-4349.358729
263480,-4349.358729
263600,-5640.036754
263954,-5170.643980
264956,-6804.832217
264986,-5157.119674
266603,-4463.436686
267707,-4581.557422
268209,-7412.241363
268367,-7233.078449
270723,-4292.920926
272444,-4292.920926
272743,-4797.261800
273071,-4862.588573
273616,-6654.260421
274317,-4744.770138
274937,-4744.770138
275510,-6442.059596
277973,-5678.705918
280914,-6051.266442
281087,-4795.100398
281095,-6511.039017
282392,-3980.067371
282406,-4347.303446
283085,-5038.433185
283201,-4009.877767
284331,-6029.513140
284515,-6814.243080
285279,-5158.002391
286190,-5654.711830
286672,-4611.943595
288586,-5535.567677
289230,-4611.943595
290331,-4436.892871
290366,-4436.892871
290654,-4880.531226
290755,-5573.689436
291953,-6606.132509
293806,-4446.716676
293880,-3784.986269
294111,-4885.338874
294412,-3784.986269
294542,-4440.572517
295855,-5064.983031
297559,-5348.665950
302520,-4051.871932
303175,-4316.976280
303304,-4151.304435
303726,-4663.426085
305255,-4663.426085
307080,-4316.976280
308131,-4821.246046
308550,-6753.528043
308644,-4821.246046
310240,-4487.420809
310306,-4487.420809
310535,-5928.320544
310870,-6862.815895
314643,-4017.695379
315118,-4017.695379
317911,-4751.811211
319016,-5036.166761
320855,-5059.712217
321048,-4883.966531
321412,-6779.522247
322461,-2758.451549
322474,-2758.451549
323333,-4973.140790
323476,-4640.445129
323647,-7136.634664
325850,-5735.155303
327070,-4954.143451
328096,-4232.289961
328253,-4232.289961
329903,-5733.912166
330022,-6664.402362
330734,-6597.102031
331080,-5852.946764
332768,-4553.503176
332943,-4195.933655
333112,-4553.993261
333179,-4195.443570
333309,-6539.829727
334577,-4280.986024
335253,-6163.563912
336869,-4280.986024
337106,-2899.321933
337250,-2899.321933
337584,-6472.965413
339288,-5025.441158
342255,-5025.441158
344451,-4348.315082
346137,-4348.315082
347078,-4348.409783
347981,-3838.351220
348111,-3838.351220
348169,-5675.199397
349060,-4348.409783
349691,-6755.403072
349749,-5832.247299
349851,-3923.574663
349966,-5579.603470
350409,-3923.574663
350776,-5580.873255
351200,-7091.178880
354484,-4351.598038
355342,-6551.594331
355379,-4806.502564
355590,-7058.183373
356242,-4503.215662
356990,-6287.054961
357417,-4502.764227
357582,-5359.511920
357802,-4011.281188
358050,-4011.281188
359302,-6323.667568
360023,-4122.679254
360148,-5392.863565
361574,-5392.863565
361761,-4122.679254
361924,-7291.816232
363372,-5505.164520
363790,-7283.193448
364271,-6428.306030
364928,-6159.195359
365131,-4387.943349
365620,-5879.957598
365650,-5098.720627
367204,-4377.002400
369652,-5142.148054
370010,-4415.585924
370173,-5282.627530
371270,-5142.148054
371486,-5434.150520
373497,-6245.091891
373509,-5203.279990
373660,-4168.539997
373685,-4200.259355
373706,-7220.067938
373848,-4321.325156
373856,-4198.707385
374927,-5584.185687
377593,-4068.586367
377722,-5444.723931
377789,-4116.514444
377996,-4069.130081
380037,-4345.528671
380114,-5508.439478
380419,-3694.866566
380730,-4114.620081
383409,-5298.986101
384213,-6528.461205
384910,-3906.176597
385015,-5144.015011
385268,-6446.276356
386517,-4080.740488
387130,-4080.740488
387542,-4532.477290
387692,-5303.537407
387785,-4637.014861
388092,-6380.586751
388377,-3619.184631
388570,-3619.184631
388799,-4555.283117
388896,-4555.283117
390349,-5263.341182
390464,-4560.173230
391012,-4831.195431
393354,-4451.017206
393449,-5679.655196
394106,-4476.661640
395370,-4450.291559
396006,-4476.661640
396428,-5225.454662
396691,-4805.541096
397954,-5350.396114
398770,-6278.702149
399746,-4219.130003
399780,-7008.846367
399967,-4210.176490
400159,-5454.078728
400180,-5732.669734
400748,-6109.696111
401201,-5398.036000
401289,-5422.903644
401542,-5208.412626
406304,-5700.470631
407321,-5930.325775
409462,-5081.471073
410763,-4984.991185
411015,-5554.133987
411613,-3068.045744
412486,-3068.045744
413942,-4676.144115
415443,-4272.012712
416176,-5982.538162
416428,-5200.735359
416759,-4274.244658
416865,-5875.510134
418012,-5275.365130
418280,-4060.713335
418908,-4075.212702
419368,-4060.713335
420671,-5891.793860
421032,-5447.781104
421226,-4075.212702
421370,-5301.071503
421469,-5871.369184
421917,-5181.988032
423813,-4425.385409
423911,-4784.275154
424421,-4784.275154
425867,-4741.317951
426719,-3992.975252
427863,-3992.975252
427981,-4234.414839
428526,-5182.466083
429069,-5614.293644
429183,-5971.250115
429224,-4233.325979
429494,-4118.103353
430613,-3340.127321
430761,-5197.493295
433526,-6173.781145
434022,-4411.173017
434496,-6107.153339
434740,-4411.833076
435138,-5506.291480
435463,-5099.195603
436131,-4327.408866
436274,-5237.939955
436467,-4327.408866
436645,-4825.985565
437063,-4261.197032
437103,-4631.805326
437729,-4691.226732
439529,-3586.943580
439544,-6223.252657
439719,-3586.943580
440674,-4712.030347
441225,-4712.030347
444226,-4658.721477
444292,-4824.994202
445487,-3137.085807
445534,-3137.085807
447855,-4658.721477
448456,-5863.055460
449253,-4371.191617
449609,-4371.191617
449710,-4046.681025
449822,-4046.681025
450037,-5148.570949
450263,-5547.314222
450473,-4605.378492
452574,-4605.378492
453451,-4681.076198
453773,-4297.170739
453852,-4297.170739
453932,-5953.714237
455388,-7359.615176
455841,-4762.337112
456659,-4387.169745
456826,-4595.941053
456879,-5307.270798
456980,-4387.169745
457300,-4377.331028
457604,-4481.049688
457862,-5560.182699
458076,-4481.477709
458762,-6047.412509
458798,-6372.026110
458837,-5389.432218
459066,-4446.020961
459302,-4446.020961
459962,-5922.788616
460142,-4749.644771
460547,-5002.181450
461135,-4750.856782
461736,-6586.153421
470916,-5412.183832
471632,-5308.992683
474215,-4437.112841
474990,-6766.654282
475161,-4951.593144
476167,-6614.682147
476456,-4648.971379
477102,-4765.347394
479831,-4765.347394
480757,-5861.836184
480834,-4648.971379
481245,-6505.111446
483442,-5446.402881
484599,-3810.960029
484935,-5413.837695
485280,-3803.161560
485416,-5201.204509
485919,-5377.650275
486595,-4503.940618
487226,-4503.940618
487314,-4457.812335
488412,-4041.071973
488484,-5047.870508
489450,-5000.087528
490563,-4588.427218
490866,-4443.529550
490868,-4158.796344
490923,-4040.764361
491089,-4154.723822
491271,-4443.529550
491300,-5345.753376
491968,-5336.588740
493034,-4622.712100
495149,-4622.712100
495975,-5137.152088
496002,-2944.044219
496361,-2944.044219
502521,-6008.637985
505397,-5675.115566
506533,-6392.894072
507245,-4889.400163
508340,-5148.570566
509129,-5474.786271
509562,-5895.454313
509571,-6519.452676
513515,-5129.626571
516138,-4760.092055
516194,-4760.092055
516768,-5526.983182
518336,-5301.327767
519401,-5453.303393
521718,-5707.839766
521923,-5311.361216
522209,-4511.767087
523677,-6111.549134
523867,-4514.354304
524485,-3592.340890
524761,-4460.419508
524966,-4731.119569
526236,-4456.280841
526520,-5936.783463
527458,-5475.839715
529074,-5137.683837
529177,-6094.062074
530185,-5848.703520
533105,-5686.226929
533809,-6311.669225
534654,-3629.985434
534727,-3629.985434
534885,-5797.743097
539082,-7009.287873
540235,-5300.028739
540393,-4874.456957
541819,-4874.456957
542612,-6277.930244
543081,-3916.755167
543196,-3916.755167
544014,-5985.819006
545225,-4701.318522
546263,-4701.318522
547916,-3951.598502
548129,-3833.901629
548566,-3963.205338
548963,-3963.205338
550179,-5300.451984
551054,-5131.661929
551772,-4948.454582
552445,-4948.454582
555689,-4708.688749
557182,-4708.688749
558295,-6254.749207
559305,-3846.802896
559371,-5589.963826
559431,-3846.802896
563113,-5643.547726
564535,-4659.269977
565509,-6011.315817
565887,-6879.045628
566299,-5927.999937
566436,-4658.533584
571661,-5022.784794
572155,-5617.164438
573790,-5914.976264
577388,-5588.935473
578117,-4642.780363
578959,-4030.786414
579292,-5265.383569
580416,-4642.780363
580426,-5813.284466
580722,-5236.835367
580785,-3812.940697
580793,-3812.940697
581401,-5318.328217
581844,-5875.390903
581875,-5708.785209
582113,-3556.942136
582460,-3514.135405
583468,-5002.714551
589178,-4296.717744
589890,-4296.717744
591727,-6358.343861
595262,-5002.714551
595322,-5003.871299
595584,-4056.721498
596576,-4926.933901
596763,-5406.400749
596816,-5003.647021
596955,-4057.229817
598427,-3196.930923
598466,-3741.475150
598498,-5732.832686
598798,-4922.614292
600390,-4915.250965
601273,-5292.607574
601660,-4915.250965
602565,-4381.236097
603923,-4381.236097
607271,-4469.298844
607639,-5563.722291
608910,-4470.066041
613728,-5568.073828
615768,-3883.613307
616226,-4984.912492
616922,-5282.335018
617319,-5958.937457
617406,-4569.743848
618725,-5314.895280
620589,-5921.658160
620904,-5768.143560
621036,-4484.798186
621183,-3933.282064
625325,-4762.678640
627685,-5333.130895
629359,-3926.786306
629874,-2977.562773
630037,-3933.035081
630292,-3767.998638
630306,-5933.493552
639897,-5600.921197
641530,-4973.228265
642276,-4827.523786
642657,-5313.793444
644929,-4830.455611
646368,-6025.496966
647786,-4830.203513
648006,-4304.930494
648460,-4304.930494
649610,-4163.750642
649709,-4163.750642
651567,-4830.203513
651984,-4326.627535
652149,-4984.824121
652565,-5785.430359
652570,-4011.021607
652685,-4011.021607
652989,-5639.616826
653308,-6585.063738
654457,-5850.663087
655544,-4308.107831
656371,-5197.876815
656477,-5972.116573
656626,-4304.487802
656769,-6169.891104
656812,-6626.342649
657216,-6736.155267
660903,-6295.474615
663556,-3501.336025
663985,-4346.085671
665301,-5996.365364
665996,-4640.189160
667621,-4640.189160
669595,-6615.637587
669701,-4002.066056
670300,-4002.066056
671168,-4564.483669
671212,-4564.483669
671510,-3956.985656
671900,-5388.160737
673198,-4614.010594
673315,-6893.839833
674219,-4216.412137
674627,-4216.412137
676225,-5839.047911
680142,-4543.530827
682885,-4543.530827
683133,-4310.390751
683301,-4601.780616
688222,-6057.901018
690921,-3139.164265
690948,-3139.164265
691747,-4103.348634
692269,-4103.348634
693234,-6049.409749
694252,-4399.469083
694355,-4399.469083
696650,-5783.485424
697818,-5647.246712
698516,-3617.630736
698745,-4958.185541
698816,-4528.856603
699930,-4117.637086
700094,-6275.852238
700354,-5005.617471
700555,-4495.320132
700738,-4899.912295
701687,-4494.093155
701757,-5978.798337
703446,-4550.741753
703597,-5777.467018
705250,-5246.723674
706841,-5626.689469
