P,w(kg/kg),w(cc/kg),w(cc/cc),qst(J/kg),qst(kJ/mol),Mch4,v_p(cc/kg),rho_ch4,F(Pa),density(mol/m3)
50.0,0.00117044,1780.0,1.02,2955476.713,47.41412182,0.0160428,1740.0,0.657,49.99994446157344,0.02017091748990034
500.0,0.00323018,4920.0,2.82,2594882.766,41.62918524,,,,499.99444620409065,0.20171119137590937
5000.0,0.00905288,13800.0,7.91,2232835.671,35.8209361,,,,4999.444667154995,2.017313568494468
50000.0,0.02588386,39400.0,22.6,1865764.145,29.93208103,,,,49944.51345902212,20.1933081187637
500000.0,0.0761385,116000.0,66.5,1469045.045,23.56759584,,,,494498.0667999108,203.95683303379437
5000000.0,0.23519501,358000.0,205.0,873475.5635,14.01299377,,,,4496428.963927974,2242.3915267164684
