Uptake,Absolute Uptake,Vol. Uptake
0.000580048137027696,0.0005800483031512012,0.5073989250609713
0.0022178384236188646,0.0022178520088247393,1.9400724372581213
0.0029826115842164465,0.0029826472698695787,2.609079296234695
0.0035582777993347385,0.003558341150254618,3.1126691774301665
0.004037020432032732,0.0040371158800073855,3.5314787522589492
0.004454426783751967,0.004454558112019588,3.8966375479098545
0.0048286332959624305,0.004828803854003856,4.224010089403118
0.005170345776711323,0.0051705585979952865,4.522961036752992
0.005486498617977126,0.005486756492747874,4.799556056568409
0.005781882494339113,0.005782188018302385,5.057985635072679
0.006059968252325013,0.006060323861092049,5.301285765226866
0.006323364228760897,0.006323772223264881,5.531737979377596
0.006574088376196248,0.006574550942073536,5.751107386477663
0.006813739256649884,0.00681425847941397,5.960792245677819
0.0070436083122169145,0.007044186189398442,6.161922172709846
0.007264756297241904,0.007265394748278783,6.355424997182231
0.007478066917613257,0.007478767792032625,6.542073682213321
0.007684285461230541,0.007685050545507606,6.722520115386558
0.007884047247179036,0.007884878270553175,6.89731999383577
0.008077898988452417,0.00807879762790899,7.066951510618617
0.008266315110167063,0.008267282994742777,7.231829628529869
0.008449710404921958,0.008450749119455316,7.392317149928546
0.00862844998125524,0.008629561069676894,7.548733418776478
0.008802857179872014,0.00880404214811006,7.701361245044577
0.008973219942355299,0.008974480260915544,7.850452475476779
0.009139795986230685,0.009141133092500394,7.9962325202508735
0.00930281704851968,0.009304232348834434,8.138904064831815
0.009462492394553641,0.009463987266059928,8.27865013913813
0.00961901174155671,0.009620587533897296,8.415636674799503
0.009772547711867072,0.009774205748711833,8.55001465098395
0.0099232579049628,0.009924999485404047,8.681921906789873
0.01007128665816608,0.010073113057994522,8.811484681322733
0.010216766551265806,0.01021867902414093,8.938818929775652
0.01035981969908757,0.01036181947761421,9.06403145402667
0.010500558867374261,0.010502647164095522,9.187220878685354
0.010639088440582171,0.010641266448897492,9.30847849760973
0.010775505264887165,0.010777774159903147,9.42788901126957
0.010909899385489124,0.01091226032480981,9.545531171652591
0.011042354693949676,0.011044808818412096,9.66147834847714
0.011172949498605285,0.011175497932965437,9.775799028119314
0.011301757028923476,0.01130440088249725,9.888557254760624
0.011428845882902538,0.011431586250165625,9.999813021716287
0.011554280425171226,0.011557118386321551,10.109622619641309
0.011678121142259119,0.011681057763745008,10.218038947274275
0.011800424960528605,0.011803461295545511,10.325111789521781
0.011921245531447876,0.011924382620406217,10.430888066976518
0.012040633488207083,0.012043872359173483,10.535412060369744
0.012158636677113551,0.01216197834622753,10.638725612963425
0.012275300366726104,0.012278745838594098,10.74086831347128
0.01239066743728693,0.01239421770535532,10.84187766174646
