U_0 = -5000.000000 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,557.649,339.072
213.880000,805.241,489.617
417.750000,813.478,494.626
621.620000,816.396,496.400
825.500000,817.303,496.951
1029.360000,818.418,497.630
1233.230000,819.206,498.109
1437.100000,819.766,498.449
1640.960000,819.898,498.529
1844.820000,819.826,498.486
2048.680000,820.040,498.615
2252.540000,820.462,498.872
2456.400000,820.952,499.170
2660.250000,821.066,499.239
2864.100000,820.955,499.172
3067.950000,820.921,499.151
3271.800000,820.941,499.164
3475.650000,820.876,499.124
3679.500000,821.291,499.376
3883.340000,821.276,499.367
4087.180000,821.176,499.307
4291.020000,821.369,499.424
4494.860000,821.623,499.578
4698.690000,821.625,499.579
4902.530000,821.647,499.593
5106.360000,821.351,499.413
5310.190000,821.747,499.654
5514.020000,821.655,499.597
5717.850000,821.741,499.650
5921.670000,821.522,499.517
6125.490000,821.795,499.683
6329.310000,821.716,499.635
6533.130000,821.727,499.642
6736.950000,821.888,499.740
6940.770000,821.682,499.614
7144.580000,821.903,499.748
7348.390000,821.650,499.594
7552.200000,821.580,499.552
7756.010000,821.824,499.700
7959.820000,821.787,499.678
8163.620000,821.947,499.775
8367.420000,821.885,499.737
8571.220000,821.904,499.749
8775.020000,821.950,499.777
8978.820000,821.487,499.496
9182.620000,821.615,499.574
9386.410000,821.845,499.713
9590.200000,821.855,499.719
9793.990000,822.010,499.814
9997.780000,821.738,499.648
