U_0 = -841.788940 A , d_sites = 4.170000 A
N_sites = 500. L = 29.481900 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.001,0.001
213.880000,0.034,0.023
417.750000,0.063,0.043
621.620000,0.092,0.064
825.500000,0.123,0.085
1029.360000,0.156,0.107
1233.230000,0.190,0.131
1437.100000,0.217,0.149
1640.960000,0.249,0.172
1844.820000,0.285,0.196
2048.680000,0.311,0.214
2252.540000,0.346,0.238
2456.400000,0.368,0.254
2660.250000,0.408,0.281
2864.100000,0.431,0.297
3067.950000,0.465,0.320
3271.800000,0.502,0.346
3475.650000,0.535,0.369
3679.500000,0.567,0.391
3883.340000,0.600,0.413
4087.180000,0.635,0.437
4291.020000,0.643,0.443
4494.860000,0.686,0.473
4698.690000,0.720,0.496
4902.530000,0.733,0.505
5106.360000,0.777,0.535
5310.190000,0.815,0.561
5514.020000,0.845,0.582
5717.850000,0.880,0.606
5921.670000,0.907,0.625
6125.490000,0.932,0.642
6329.310000,0.981,0.676
6533.130000,1.007,0.694
6736.950000,1.039,0.715
6940.770000,1.068,0.736
7144.580000,1.116,0.768
7348.390000,1.145,0.789
7552.200000,1.152,0.793
7756.010000,1.196,0.824
7959.820000,1.236,0.851
8163.620000,1.252,0.863
8367.420000,1.284,0.885
8571.220000,1.324,0.912
8775.020000,1.337,0.921
8978.820000,1.385,0.954
9182.620000,1.423,0.980
9386.410000,1.422,0.979
9590.200000,1.485,1.023
9793.990000,1.545,1.064
9997.780000,1.565,1.078
