U_0 = -1202.555628 A , d_sites = 4.170000 A
N_sites = 500. L = 29.481900 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.005,0.004
213.880000,0.113,0.078
417.750000,0.216,0.149
621.620000,0.316,0.217
825.500000,0.432,0.298
1029.360000,0.527,0.363
1233.230000,0.625,0.431
1437.100000,0.740,0.510
1640.960000,0.848,0.584
1844.820000,0.959,0.661
2048.680000,1.043,0.719
2252.540000,1.151,0.793
2456.400000,1.264,0.870
2660.250000,1.391,0.959
2864.100000,1.495,1.030
3067.950000,1.599,1.101
3271.800000,1.693,1.167
3475.650000,1.814,1.250
3679.500000,1.942,1.338
3883.340000,2.002,1.379
4087.180000,2.133,1.469
4291.020000,2.273,1.566
4494.860000,2.340,1.612
4698.690000,2.491,1.716
4902.530000,2.569,1.770
5106.360000,2.708,1.865
5310.190000,2.810,1.936
5514.020000,2.916,2.009
5717.850000,3.049,2.101
5921.670000,3.133,2.159
6125.490000,3.271,2.253
6329.310000,3.366,2.319
6533.130000,3.512,2.419
6736.950000,3.631,2.502
6940.770000,3.631,2.502
7144.580000,3.804,2.620
7348.390000,3.924,2.703
7552.200000,4.081,2.812
7756.010000,4.207,2.898
7959.820000,4.282,2.950
8163.620000,4.444,3.061
8367.420000,4.467,3.077
8571.220000,4.598,3.167
8775.020000,4.792,3.301
8978.820000,4.802,3.308
9182.620000,5.040,3.472
9386.410000,5.081,3.500
9590.200000,5.195,3.579
9793.990000,5.249,3.616
9997.780000,5.461,3.762
