U_0 = -1924.089005 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.054,0.033
213.880000,1.232,0.749
417.750000,2.463,1.498
621.620000,3.735,2.271
825.500000,4.958,3.015
1029.360000,6.307,3.835
1233.230000,7.629,4.638
1437.100000,9.071,5.515
1640.960000,10.525,6.400
1844.820000,12.014,7.305
2048.680000,13.745,8.358
2252.540000,15.384,9.354
2456.400000,16.727,10.171
2660.250000,18.617,11.320
2864.100000,20.470,12.447
3067.950000,22.313,13.567
3271.800000,24.395,14.833
3475.650000,26.999,16.416
3679.500000,28.885,17.563
3883.340000,30.576,18.591
4087.180000,33.404,20.311
4291.020000,35.855,21.801
4494.860000,38.417,23.359
4698.690000,43.547,26.478
4902.530000,48.588,29.544
5106.360000,50.988,31.003
5310.190000,56.667,34.456
5514.020000,733.094,445.749
5717.850000,441.634,268.531
5921.670000,817.115,496.838
6125.490000,816.759,496.621
6329.310000,816.938,496.729
6533.130000,817.867,497.294
6736.950000,817.229,496.906
6940.770000,817.963,497.353
7144.580000,817.649,497.162
7348.390000,818.399,497.618
7552.200000,818.011,497.382
7756.010000,818.134,497.457
7959.820000,818.018,497.386
8163.620000,818.222,497.510
8367.420000,818.127,497.452
8571.220000,818.818,497.873
8775.020000,818.438,497.642
8978.820000,819.497,498.286
9182.620000,819.336,498.188
9386.410000,819.122,498.058
9590.200000,818.515,497.689
9793.990000,819.289,498.159
9997.780000,819.470,498.269
