U_0 = -2044.344568 A , d_sites = 10.000000 A
N_sites = 32. L = 28.280000 A
N_trials = 6400 , N_equil = 1280
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.076,0.046
213.880000,1.834,1.115
417.750000,3.231,1.965
621.620000,4.629,2.815
825.500000,6.078,3.696
1029.360000,7.345,4.466
1233.230000,8.396,5.105
1437.100000,9.802,5.960
1640.960000,11.110,6.755
1844.820000,12.125,7.372
2048.680000,12.765,7.761
2252.540000,14.248,8.663
2456.400000,15.002,9.122
2660.250000,15.842,9.633
2864.100000,15.869,9.649
3067.950000,17.669,10.743
3271.800000,18.696,11.368
3475.650000,20.035,12.182
3679.500000,20.314,12.352
3883.340000,20.479,12.452
4087.180000,21.112,12.837
4291.020000,21.812,13.262
4494.860000,22.223,13.513
4698.690000,22.562,13.719
4902.530000,23.026,14.001
5106.360000,22.866,13.903
5310.190000,25.227,15.339
5514.020000,25.056,15.235
5717.850000,25.039,15.224
5921.670000,26.149,15.900
6125.490000,26.059,15.845
6329.310000,26.784,16.286
6533.130000,26.638,16.197
6736.950000,27.271,16.582
6940.770000,28.011,17.032
7144.580000,27.734,16.863
7348.390000,29.479,17.924
7552.200000,28.948,17.602
7756.010000,29.249,17.784
7959.820000,29.694,18.055
8163.620000,30.741,18.691
8367.420000,30.498,18.544
8571.220000,30.714,18.675
8775.020000,31.916,19.406
8978.820000,30.099,18.301
9182.620000,31.041,18.874
9386.410000,32.258,19.614
9590.200000,33.724,20.505
9793.990000,33.018,20.076
9997.780000,32.430,19.719
