U_0 = -1202.555628 A , d_sites = 5.000000 A
N_sites = 256. L = 28.280000 A
N_trials = 51200 , N_equil = 10240
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.005,0.003
213.880000,0.111,0.068
417.750000,0.213,0.129
621.620000,0.316,0.192
825.500000,0.413,0.251
1029.360000,0.536,0.326
1233.230000,0.643,0.391
1437.100000,0.735,0.447
1640.960000,0.860,0.523
1844.820000,0.965,0.587
2048.680000,1.012,0.615
2252.540000,1.140,0.693
2456.400000,1.270,0.772
2660.250000,1.335,0.811
2864.100000,1.462,0.889
3067.950000,1.564,0.951
3271.800000,1.712,1.041
3475.650000,1.764,1.073
3679.500000,1.915,1.165
3883.340000,1.977,1.202
4087.180000,2.084,1.267
4291.020000,2.194,1.334
4494.860000,2.338,1.422
4698.690000,2.440,1.484
4902.530000,2.524,1.535
5106.360000,2.636,1.603
5310.190000,2.752,1.673
5514.020000,2.880,1.751
5717.850000,3.048,1.854
5921.670000,3.040,1.848
6125.490000,3.185,1.936
6329.310000,3.357,2.041
6533.130000,3.408,2.072
6736.950000,3.531,2.147
6940.770000,3.687,2.242
7144.580000,3.806,2.314
7348.390000,3.889,2.365
7552.200000,3.991,2.427
7756.010000,4.079,2.480
7959.820000,4.117,2.503
8163.620000,4.308,2.620
8367.420000,4.478,2.723
8571.220000,4.609,2.802
8775.020000,4.638,2.820
8978.820000,4.744,2.885
9182.620000,4.755,2.891
9386.410000,4.936,3.001
9590.200000,5.035,3.061
9793.990000,5.236,3.184
9997.780000,5.335,3.244
