U_0 = -1202.555628 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.006,0.004
213.880000,0.110,0.067
417.750000,0.218,0.132
621.620000,0.320,0.194
825.500000,0.430,0.262
1029.360000,0.529,0.322
1233.230000,0.622,0.378
1437.100000,0.734,0.446
1640.960000,0.853,0.519
1844.820000,0.928,0.564
2048.680000,1.070,0.651
2252.540000,1.162,0.707
2456.400000,1.292,0.786
2660.250000,1.379,0.838
2864.100000,1.518,0.923
3067.950000,1.614,0.981
3271.800000,1.715,1.043
3475.650000,1.826,1.110
3679.500000,1.935,1.176
3883.340000,2.016,1.226
4087.180000,2.135,1.298
4291.020000,2.237,1.360
4494.860000,2.386,1.451
4698.690000,2.518,1.531
4902.530000,2.544,1.547
5106.360000,2.701,1.642
5310.190000,2.781,1.691
5514.020000,2.929,1.781
5717.850000,3.035,1.845
5921.670000,3.142,1.911
6125.490000,3.242,1.971
6329.310000,3.337,2.029
6533.130000,3.427,2.084
6736.950000,3.599,2.188
6940.770000,3.664,2.228
7144.580000,3.771,2.293
7348.390000,3.930,2.389
7552.200000,4.041,2.457
7756.010000,4.146,2.521
7959.820000,4.258,2.589
8163.620000,4.287,2.607
8367.420000,4.489,2.729
8571.220000,4.537,2.759
8775.020000,4.751,2.889
8978.820000,4.758,2.893
9182.620000,4.936,3.001
9386.410000,5.028,3.057
9590.200000,5.162,3.139
9793.990000,5.277,3.208
9997.780000,5.444,3.310
