U_0 = -1924.089005 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.059,0.062
213.880000,1.230,1.292
417.750000,2.408,2.530
621.620000,3.527,3.706
825.500000,4.502,4.730
1029.360000,5.485,5.763
1233.230000,6.685,7.024
1437.100000,7.781,8.175
1640.960000,8.633,9.071
1844.820000,10.122,10.635
2048.680000,10.773,11.319
2252.540000,11.486,12.068
2456.400000,12.753,13.399
2660.250000,13.907,14.612
2864.100000,14.694,15.439
3067.950000,15.780,16.580
3271.800000,16.186,17.006
3475.650000,16.799,17.651
3679.500000,18.149,19.069
3883.340000,18.930,19.890
4087.180000,19.851,20.857
4291.020000,20.783,21.837
4494.860000,21.574,22.667
4698.690000,22.420,23.557
4902.530000,23.531,24.724
5106.360000,23.868,25.077
5310.190000,24.498,25.739
5514.020000,25.616,26.915
5717.850000,25.914,27.228
5921.670000,27.051,28.422
6125.490000,27.806,29.215
6329.310000,27.615,29.014
6533.130000,28.695,30.149
6736.950000,29.273,30.757
6940.770000,30.008,31.530
7144.580000,31.459,33.054
7348.390000,31.807,33.419
7552.200000,31.275,32.860
7756.010000,32.946,34.616
7959.820000,33.227,34.912
8163.620000,34.741,36.502
8367.420000,34.674,36.431
8571.220000,34.986,36.759
8775.020000,35.515,37.315
8978.820000,36.585,38.440
9182.620000,37.025,38.902
9386.410000,36.918,38.789
9590.200000,38.146,40.080
9793.990000,38.168,40.103
9997.780000,39.372,41.368
