U_0 = -1563.322317 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.018,0.011
213.880000,0.375,0.228
417.750000,0.705,0.429
621.620000,1.051,0.639
825.500000,1.434,0.872
1029.360000,1.751,1.065
1233.230000,2.107,1.281
1437.100000,2.463,1.498
1640.960000,2.784,1.693
1844.820000,3.143,1.911
2048.680000,3.502,2.129
2252.540000,3.834,2.331
2456.400000,4.174,2.538
2660.250000,4.544,2.763
2864.100000,4.890,2.974
3067.950000,5.225,3.177
3271.800000,5.573,3.389
3475.650000,5.905,3.590
3679.500000,6.248,3.799
3883.340000,6.569,3.994
4087.180000,6.837,4.157
4291.020000,7.339,4.462
4494.860000,7.702,4.683
4698.690000,7.991,4.859
4902.530000,8.415,5.116
5106.360000,8.708,5.295
5310.190000,9.139,5.557
5514.020000,9.440,5.740
5717.850000,9.654,5.870
5921.670000,9.978,6.067
6125.490000,10.333,6.283
6329.310000,10.558,6.419
6533.130000,11.296,6.868
6736.950000,11.531,7.011
6940.770000,11.834,7.196
7144.580000,12.241,7.443
7348.390000,12.373,7.523
7552.200000,12.598,7.660
7756.010000,13.353,8.119
7959.820000,13.265,8.066
8163.620000,13.732,8.350
8367.420000,14.063,8.551
8571.220000,14.120,8.585
8775.020000,14.612,8.885
8978.820000,15.078,9.168
9182.620000,15.505,9.428
9386.410000,15.887,9.660
9590.200000,16.220,9.863
9793.990000,16.650,10.124
9997.780000,16.799,10.214
