U_0 = -721.533377 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.001,0.001
213.880000,0.020,0.012
417.750000,0.042,0.026
621.620000,0.058,0.035
825.500000,0.081,0.049
1029.360000,0.104,0.063
1233.230000,0.128,0.078
1437.100000,0.148,0.090
1640.960000,0.165,0.100
1844.820000,0.185,0.113
2048.680000,0.205,0.125
2252.540000,0.235,0.143
2456.400000,0.240,0.146
2660.250000,0.267,0.162
2864.100000,0.294,0.179
3067.950000,0.314,0.191
3271.800000,0.337,0.205
3475.650000,0.356,0.217
3679.500000,0.377,0.229
3883.340000,0.403,0.245
4087.180000,0.409,0.249
4291.020000,0.441,0.268
4494.860000,0.456,0.277
4698.690000,0.491,0.298
4902.530000,0.498,0.303
5106.360000,0.521,0.317
5310.190000,0.537,0.327
5514.020000,0.564,0.343
5717.850000,0.584,0.355
5921.670000,0.614,0.373
6125.490000,0.620,0.377
6329.310000,0.646,0.393
6533.130000,0.672,0.408
6736.950000,0.685,0.416
6940.770000,0.716,0.436
7144.580000,0.739,0.450
7348.390000,0.747,0.454
7552.200000,0.770,0.468
7756.010000,0.784,0.477
7959.820000,0.833,0.506
8163.620000,0.827,0.503
8367.420000,0.869,0.528
8571.220000,0.872,0.530
8775.020000,0.888,0.540
8978.820000,0.922,0.560
9182.620000,0.933,0.567
9386.410000,0.949,0.577
9590.200000,0.989,0.601
9793.990000,0.992,0.603
9997.780000,1.023,0.622
