U_0 = -1563.322317 A , d_sites = 5.000000 A
N_sites = 256. L = 28.280000 A
N_trials = 51200 , N_equil = 10240
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.019,0.012
213.880000,0.366,0.222
417.750000,0.705,0.429
621.620000,1.080,0.657
825.500000,1.413,0.859
1029.360000,1.767,1.075
1233.230000,2.152,1.309
1437.100000,2.523,1.534
1640.960000,2.877,1.749
1844.820000,3.281,1.995
2048.680000,3.541,2.153
2252.540000,3.971,2.415
2456.400000,4.266,2.594
2660.250000,4.759,2.894
2864.100000,5.162,3.139
3067.950000,5.396,3.281
3271.800000,5.834,3.547
3475.650000,6.299,3.830
3679.500000,6.578,4.000
3883.340000,7.048,4.285
4087.180000,7.599,4.620
4291.020000,7.736,4.704
4494.860000,8.128,4.942
4698.690000,8.547,5.197
4902.530000,8.985,5.463
5106.360000,9.466,5.755
5310.190000,9.933,6.040
5514.020000,10.325,6.278
5717.850000,10.803,6.569
5921.670000,11.076,6.735
6125.490000,11.579,7.041
6329.310000,12.104,7.360
6533.130000,12.259,7.454
6736.950000,12.958,7.879
6940.770000,13.059,7.940
7144.580000,13.639,8.293
7348.390000,14.096,8.571
7552.200000,14.348,8.724
7756.010000,14.925,9.075
7959.820000,15.202,9.243
8163.620000,15.907,9.672
8367.420000,16.718,10.165
8571.220000,16.755,10.187
8775.020000,17.393,10.575
8978.820000,17.936,10.906
9182.620000,18.480,11.237
9386.410000,18.607,11.314
9590.200000,18.787,11.423
9793.990000,19.643,11.944
9997.780000,20.254,12.315
