U_0 = -481.022251 A , d_sites = 5.000000 A
N_sites = 256. L = 28.280000 A
N_trials = 51200 , N_equil = 10240
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.000,0.000
213.880000,0.009,0.005
417.750000,0.021,0.013
621.620000,0.027,0.016
825.500000,0.042,0.026
1029.360000,0.042,0.025
1233.230000,0.052,0.032
1437.100000,0.063,0.038
1640.960000,0.075,0.046
1844.820000,0.081,0.049
2048.680000,0.093,0.056
2252.540000,0.098,0.059
2456.400000,0.106,0.064
2660.250000,0.120,0.073
2864.100000,0.121,0.074
3067.950000,0.134,0.082
3271.800000,0.154,0.094
3475.650000,0.159,0.097
3679.500000,0.168,0.102
3883.340000,0.176,0.107
4087.180000,0.190,0.115
4291.020000,0.193,0.117
4494.860000,0.208,0.127
4698.690000,0.213,0.129
4902.530000,0.217,0.132
5106.360000,0.244,0.148
5310.190000,0.251,0.153
5514.020000,0.254,0.154
5717.850000,0.251,0.153
5921.670000,0.266,0.161
6125.490000,0.275,0.167
6329.310000,0.291,0.177
6533.130000,0.298,0.181
6736.950000,0.303,0.184
6940.770000,0.327,0.199
7144.580000,0.327,0.199
7348.390000,0.333,0.202
7552.200000,0.354,0.215
7756.010000,0.346,0.210
7959.820000,0.364,0.221
8163.620000,0.371,0.225
8367.420000,0.388,0.236
8571.220000,0.391,0.238
8775.020000,0.395,0.240
8978.820000,0.397,0.241
9182.620000,0.423,0.257
9386.410000,0.433,0.263
9590.200000,0.435,0.265
9793.990000,0.436,0.265
9997.780000,0.448,0.272
