U_0 = -1563.322317 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.018,0.019
213.880000,0.364,0.383
417.750000,0.725,0.762
621.620000,1.030,1.082
825.500000,1.412,1.484
1029.360000,1.721,1.808
1233.230000,2.063,2.167
1437.100000,2.366,2.486
1640.960000,2.651,2.785
1844.820000,2.987,3.138
2048.680000,3.471,3.647
2252.540000,3.683,3.870
2456.400000,4.138,4.348
2660.250000,4.307,4.525
2864.100000,4.651,4.887
3067.950000,5.001,5.254
3271.800000,5.274,5.541
3475.650000,5.504,5.783
3679.500000,5.877,6.175
3883.340000,6.205,6.519
4087.180000,6.666,7.004
4291.020000,6.800,7.144
4494.860000,6.977,7.330
4698.690000,7.375,7.749
4902.530000,7.718,8.110
5106.360000,8.167,8.581
5310.190000,8.461,8.890
5514.020000,8.178,8.592
5717.850000,9.041,9.499
5921.670000,9.052,9.511
6125.490000,9.644,10.133
6329.310000,9.671,10.162
6533.130000,9.857,10.357
6736.950000,10.121,10.634
6940.770000,10.566,11.102
7144.580000,11.072,11.633
7348.390000,11.107,11.670
7552.200000,11.643,12.233
7756.010000,11.780,12.378
7959.820000,12.094,12.707
8163.620000,11.925,12.530
8367.420000,12.922,13.577
8571.220000,12.902,13.556
8775.020000,13.065,13.727
8978.820000,13.028,13.688
9182.620000,13.351,14.028
9386.410000,13.793,14.492
9590.200000,14.529,15.266
9793.990000,14.717,15.463
9997.780000,14.609,15.350
