U_0 = -1202.555628 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.005,0.006
213.880000,0.107,0.113
417.750000,0.214,0.224
621.620000,0.309,0.325
825.500000,0.416,0.437
1029.360000,0.519,0.546
1233.230000,0.633,0.665
1437.100000,0.726,0.763
1640.960000,0.840,0.882
1844.820000,0.914,0.960
2048.680000,1.035,1.087
2252.540000,1.147,1.205
2456.400000,1.227,1.289
2660.250000,1.308,1.375
2864.100000,1.443,1.517
3067.950000,1.510,1.586
3271.800000,1.596,1.677
3475.650000,1.753,1.842
3679.500000,1.787,1.878
3883.340000,2.005,2.107
4087.180000,2.002,2.104
4291.020000,2.133,2.241
4494.860000,2.229,2.342
4698.690000,2.317,2.435
4902.530000,2.475,2.600
5106.360000,2.535,2.663
5310.190000,2.622,2.755
5514.020000,2.614,2.747
5717.850000,2.817,2.960
5921.670000,2.871,3.016
6125.490000,3.032,3.185
6329.310000,3.069,3.225
6533.130000,3.150,3.310
6736.950000,3.315,3.483
6940.770000,3.429,3.603
7144.580000,3.412,3.585
7348.390000,3.556,3.736
7552.200000,3.660,3.846
7756.010000,3.712,3.901
7959.820000,3.875,4.071
8163.620000,3.995,4.198
8367.420000,4.109,4.318
8571.220000,4.244,4.459
8775.020000,4.346,4.567
8978.820000,4.382,4.604
9182.620000,4.472,4.699
9386.410000,4.349,4.570
9590.200000,4.671,4.908
9793.990000,4.592,4.825
9997.780000,4.720,4.959
