U_0 = -481.022251 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.000,0.000
213.880000,0.009,0.006
417.750000,0.019,0.012
621.620000,0.029,0.018
825.500000,0.035,0.021
1029.360000,0.049,0.030
1233.230000,0.056,0.034
1437.100000,0.061,0.037
1640.960000,0.072,0.044
1844.820000,0.085,0.052
2048.680000,0.095,0.058
2252.540000,0.101,0.061
2456.400000,0.118,0.072
2660.250000,0.125,0.076
2864.100000,0.129,0.079
3067.950000,0.142,0.086
3271.800000,0.147,0.089
3475.650000,0.157,0.096
3679.500000,0.172,0.104
3883.340000,0.178,0.108
4087.180000,0.185,0.112
4291.020000,0.200,0.122
4494.860000,0.201,0.122
4698.690000,0.206,0.125
4902.530000,0.217,0.132
5106.360000,0.229,0.140
5310.190000,0.241,0.146
5514.020000,0.251,0.152
5717.850000,0.255,0.155
5921.670000,0.268,0.163
6125.490000,0.274,0.167
6329.310000,0.289,0.176
6533.130000,0.298,0.181
6736.950000,0.309,0.188
6940.770000,0.313,0.190
7144.580000,0.319,0.194
7348.390000,0.327,0.199
7552.200000,0.338,0.206
7756.010000,0.348,0.211
7959.820000,0.361,0.220
8163.620000,0.364,0.222
8367.420000,0.377,0.229
8571.220000,0.389,0.236
8775.020000,0.399,0.243
8978.820000,0.414,0.252
9182.620000,0.429,0.261
9386.410000,0.421,0.256
9590.200000,0.437,0.266
9793.990000,0.438,0.266
9997.780000,0.457,0.278
