U_0 = -1683.577880 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.026,0.016
213.880000,0.552,0.336
417.750000,1.089,0.662
621.620000,1.582,0.962
825.500000,2.159,1.313
1029.360000,2.740,1.666
1233.230000,3.301,2.007
1437.100000,3.820,2.323
1640.960000,4.411,2.682
1844.820000,5.049,3.070
2048.680000,5.536,3.366
2252.540000,6.166,3.749
2456.400000,6.788,4.127
2660.250000,7.354,4.472
2864.100000,8.049,4.894
3067.950000,8.533,5.188
3271.800000,9.107,5.537
3475.650000,10.030,6.099
3679.500000,10.690,6.500
3883.340000,11.193,6.806
4087.180000,11.777,7.161
4291.020000,12.597,7.660
4494.860000,13.280,8.075
4698.690000,13.837,8.413
4902.530000,14.952,9.091
5106.360000,15.487,9.417
5310.190000,16.173,9.834
5514.020000,17.035,10.358
5717.850000,17.765,10.802
5921.670000,18.245,11.094
6125.490000,19.380,11.784
6329.310000,19.884,12.090
6533.130000,20.835,12.669
6736.950000,21.995,13.374
6940.770000,22.620,13.754
7144.580000,23.111,14.052
7348.390000,24.423,14.850
7552.200000,25.262,15.360
7756.010000,26.139,15.893
7959.820000,27.289,16.593
8163.620000,28.500,17.329
8367.420000,29.614,18.006
8571.220000,30.649,18.636
8775.020000,31.264,19.010
8978.820000,33.257,20.221
9182.620000,33.778,20.538
9386.410000,34.374,20.901
9590.200000,35.971,21.872
9793.990000,37.858,23.019
9997.780000,39.824,24.215
