U_0 = -841.788940 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.002,0.002
213.880000,0.032,0.034
417.750000,0.066,0.069
621.620000,0.098,0.103
825.500000,0.123,0.129
1029.360000,0.150,0.158
1233.230000,0.188,0.197
1437.100000,0.215,0.226
1640.960000,0.242,0.254
1844.820000,0.281,0.295
2048.680000,0.323,0.340
2252.540000,0.331,0.348
2456.400000,0.366,0.385
2660.250000,0.407,0.427
2864.100000,0.443,0.465
3067.950000,0.460,0.484
3271.800000,0.515,0.541
3475.650000,0.526,0.553
3679.500000,0.564,0.592
3883.340000,0.570,0.599
4087.180000,0.598,0.629
4291.020000,0.618,0.649
4494.860000,0.679,0.714
4698.690000,0.684,0.719
4902.530000,0.746,0.783
5106.360000,0.736,0.774
5310.190000,0.778,0.817
5514.020000,0.830,0.872
5717.850000,0.863,0.907
5921.670000,0.881,0.926
6125.490000,0.929,0.976
6329.310000,0.928,0.975
6533.130000,0.973,1.023
6736.950000,1.022,1.074
6940.770000,1.012,1.063
7144.580000,1.073,1.128
7348.390000,1.097,1.152
7552.200000,1.136,1.194
7756.010000,1.158,1.217
7959.820000,1.193,1.253
8163.620000,1.214,1.275
8367.420000,1.217,1.278
8571.220000,1.274,1.339
8775.020000,1.283,1.348
8978.820000,1.349,1.418
9182.620000,1.336,1.404
9386.410000,1.394,1.465
9590.200000,1.477,1.552
9793.990000,1.472,1.547
9997.780000,1.507,1.584
