U_0 = -1563.322317 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.018,0.011
213.880000,0.368,0.224
417.750000,0.721,0.438
621.620000,1.065,0.648
825.500000,1.419,0.863
1029.360000,1.779,1.082
1233.230000,2.158,1.312
1437.100000,2.570,1.563
1640.960000,2.856,1.737
1844.820000,3.254,1.978
2048.680000,3.669,2.231
2252.540000,4.037,2.455
2456.400000,4.411,2.682
2660.250000,4.843,2.945
2864.100000,5.141,3.126
3067.950000,5.720,3.478
3271.800000,5.900,3.587
3475.650000,6.328,3.848
3679.500000,6.731,4.093
3883.340000,7.169,4.359
4087.180000,7.548,4.589
4291.020000,8.065,4.904
4494.860000,8.451,5.139
4698.690000,8.766,5.330
4902.530000,9.187,5.586
5106.360000,9.711,5.905
5310.190000,10.096,6.139
5514.020000,10.665,6.485
5717.850000,10.848,6.596
5921.670000,11.517,7.003
6125.490000,11.637,7.076
6329.310000,12.268,7.460
6533.130000,13.156,7.999
6736.950000,13.352,8.118
6940.770000,13.929,8.469
7144.580000,14.216,8.644
7348.390000,14.889,9.053
7552.200000,15.175,9.227
7756.010000,15.675,9.531
7959.820000,16.183,9.840
8163.620000,16.619,10.105
8367.420000,17.110,10.403
8571.220000,17.885,10.875
8775.020000,18.592,11.304
8978.820000,19.199,11.674
9182.620000,19.343,11.762
9386.410000,19.925,12.115
9590.200000,20.422,12.418
9793.990000,20.806,12.651
9997.780000,21.608,13.139
