U_0 = -1262.683410 A , d_sites = 10.000000 A
N_sites = 32. L = 28.280000 A
N_trials = 6400 , N_equil = 1280
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.006,0.004
213.880000,0.125,0.076
417.750000,0.281,0.171
621.620000,0.371,0.226
825.500000,0.518,0.315
1029.360000,0.615,0.374
1233.230000,0.718,0.436
1437.100000,0.832,0.506
1640.960000,0.949,0.577
1844.820000,1.146,0.697
2048.680000,1.193,0.725
2252.540000,1.355,0.824
2456.400000,1.331,0.809
2660.250000,1.640,0.997
2864.100000,1.662,1.011
3067.950000,1.871,1.138
3271.800000,1.887,1.147
3475.650000,1.976,1.202
3679.500000,2.127,1.294
3883.340000,2.313,1.407
4087.180000,2.308,1.404
4291.020000,2.455,1.493
4494.860000,2.548,1.549
4698.690000,2.682,1.631
4902.530000,2.667,1.622
5106.360000,2.893,1.759
5310.190000,3.046,1.852
5514.020000,3.091,1.879
5717.850000,3.279,1.994
5921.670000,3.408,2.072
6125.490000,3.533,2.148
6329.310000,3.496,2.126
6533.130000,3.693,2.246
6736.950000,3.804,2.313
6940.770000,3.700,2.250
7144.580000,3.950,2.402
7348.390000,3.983,2.422
7552.200000,4.435,2.696
7756.010000,4.175,2.538
7959.820000,4.238,2.577
8163.620000,4.587,2.789
8367.420000,4.927,2.996
8571.220000,4.888,2.972
8775.020000,4.567,2.777
8978.820000,4.967,3.020
9182.620000,5.089,3.094
9386.410000,5.119,3.113
9590.200000,5.009,3.046
9793.990000,5.534,3.365
9997.780000,5.546,3.372
