U_0 = -481.022251 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.000,0.000
213.880000,0.008,0.009
417.750000,0.022,0.023
621.620000,0.026,0.028
825.500000,0.039,0.041
1029.360000,0.048,0.050
1233.230000,0.054,0.056
1437.100000,0.067,0.070
1640.960000,0.077,0.080
1844.820000,0.077,0.080
2048.680000,0.088,0.092
2252.540000,0.103,0.108
2456.400000,0.104,0.109
2660.250000,0.119,0.125
2864.100000,0.127,0.134
3067.950000,0.132,0.139
3271.800000,0.146,0.153
3475.650000,0.160,0.168
3679.500000,0.159,0.167
3883.340000,0.174,0.183
4087.180000,0.184,0.194
4291.020000,0.185,0.194
4494.860000,0.208,0.219
4698.690000,0.201,0.211
4902.530000,0.234,0.246
5106.360000,0.231,0.243
5310.190000,0.248,0.260
5514.020000,0.245,0.257
5717.850000,0.258,0.271
5921.670000,0.276,0.290
6125.490000,0.274,0.287
6329.310000,0.278,0.292
6533.130000,0.290,0.304
6736.950000,0.312,0.327
6940.770000,0.313,0.329
7144.580000,0.321,0.337
7348.390000,0.334,0.351
7552.200000,0.337,0.354
7756.010000,0.346,0.363
7959.820000,0.364,0.383
8163.620000,0.369,0.387
8367.420000,0.389,0.408
8571.220000,0.387,0.407
8775.020000,0.402,0.423
8978.820000,0.399,0.419
9182.620000,0.426,0.448
9386.410000,0.411,0.432
9590.200000,0.434,0.456
9793.990000,0.437,0.459
9997.780000,0.469,0.493
