U_0 = -481.022251 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.000,0.000
213.880000,0.009,0.006
417.750000,0.016,0.010
621.620000,0.027,0.016
825.500000,0.036,0.022
1029.360000,0.047,0.028
1233.230000,0.053,0.033
1437.100000,0.068,0.041
1640.960000,0.073,0.045
1844.820000,0.081,0.049
2048.680000,0.091,0.056
2252.540000,0.103,0.062
2456.400000,0.110,0.067
2660.250000,0.122,0.074
2864.100000,0.134,0.082
3067.950000,0.141,0.086
3271.800000,0.147,0.089
3475.650000,0.156,0.095
3679.500000,0.169,0.103
3883.340000,0.179,0.109
4087.180000,0.194,0.118
4291.020000,0.194,0.118
4494.860000,0.207,0.126
4698.690000,0.208,0.127
4902.530000,0.219,0.133
5106.360000,0.225,0.137
5310.190000,0.242,0.147
5514.020000,0.247,0.150
5717.850000,0.258,0.157
5921.670000,0.273,0.166
6125.490000,0.280,0.170
6329.310000,0.283,0.172
6533.130000,0.292,0.178
6736.950000,0.307,0.187
6940.770000,0.313,0.190
7144.580000,0.323,0.196
7348.390000,0.329,0.200
7552.200000,0.346,0.210
7756.010000,0.352,0.214
7959.820000,0.353,0.214
8163.620000,0.375,0.228
8367.420000,0.378,0.230
8571.220000,0.404,0.246
8775.020000,0.409,0.249
8978.820000,0.403,0.245
9182.620000,0.414,0.252
9386.410000,0.415,0.252
9590.200000,0.432,0.263
9793.990000,0.454,0.276
9997.780000,0.450,0.274
