U_0 = -1803.833443 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.037,0.023
213.880000,0.837,0.509
417.750000,1.639,0.997
621.620000,2.457,1.494
825.500000,3.249,1.976
1029.360000,4.160,2.530
1233.230000,4.954,3.012
1437.100000,5.892,3.583
1640.960000,6.750,4.104
1844.820000,7.674,4.666
2048.680000,8.460,5.144
2252.540000,9.590,5.831
2456.400000,10.556,6.418
2660.250000,11.519,7.004
2864.100000,12.371,7.522
3067.950000,13.492,8.204
3271.800000,14.731,8.957
3475.650000,15.814,9.616
3679.500000,16.760,10.191
3883.340000,18.144,11.032
4087.180000,19.604,11.920
4291.020000,20.370,12.386
4494.860000,21.623,13.148
4698.690000,23.138,14.069
4902.530000,24.745,15.046
5106.360000,25.894,15.745
5310.190000,27.491,16.716
5514.020000,29.470,17.919
5717.850000,29.739,18.082
5921.670000,31.958,19.432
6125.490000,33.773,20.535
6329.310000,35.705,21.710
6533.130000,37.337,22.703
6736.950000,39.583,24.068
6940.770000,42.403,25.783
7144.580000,44.154,26.847
7348.390000,46.567,28.315
7552.200000,49.557,30.133
7756.010000,52.158,31.714
7959.820000,58.777,35.738
8163.620000,620.201,377.106
8367.420000,689.860,419.462
8571.220000,449.663,273.413
8775.020000,789.603,480.109
8978.820000,817.154,496.861
9182.620000,816.893,496.702
9386.410000,817.035,496.788
9590.200000,816.713,496.593
9793.990000,817.170,496.870
9997.780000,817.395,497.007
