U_0 = -481.022251 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.001,0.001
213.880000,0.010,0.010
417.750000,0.017,0.018
621.620000,0.026,0.027
825.500000,0.041,0.044
1029.360000,0.047,0.050
1233.230000,0.062,0.066
1437.100000,0.065,0.068
1640.960000,0.072,0.076
1844.820000,0.080,0.084
2048.680000,0.089,0.093
2252.540000,0.098,0.103
2456.400000,0.117,0.122
2660.250000,0.130,0.136
2864.100000,0.137,0.144
3067.950000,0.137,0.144
3271.800000,0.149,0.156
3475.650000,0.160,0.168
3679.500000,0.164,0.172
3883.340000,0.176,0.185
4087.180000,0.178,0.187
4291.020000,0.184,0.193
4494.860000,0.197,0.207
4698.690000,0.210,0.221
4902.530000,0.216,0.227
5106.360000,0.230,0.241
5310.190000,0.244,0.257
5514.020000,0.258,0.271
5717.850000,0.248,0.260
5921.670000,0.265,0.279
6125.490000,0.280,0.295
6329.310000,0.291,0.306
6533.130000,0.297,0.312
6736.950000,0.302,0.317
6940.770000,0.306,0.321
7144.580000,0.324,0.341
7348.390000,0.338,0.355
7552.200000,0.352,0.369
7756.010000,0.346,0.363
7959.820000,0.365,0.383
8163.620000,0.359,0.377
8367.420000,0.369,0.388
8571.220000,0.390,0.410
8775.020000,0.388,0.408
8978.820000,0.401,0.421
9182.620000,0.403,0.423
9386.410000,0.404,0.425
9590.200000,0.417,0.438
9793.990000,0.461,0.484
9997.780000,0.446,0.469
