U_0 = -1322.811191 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.008,0.005
213.880000,0.161,0.098
417.750000,0.324,0.197
621.620000,0.471,0.287
825.500000,0.639,0.388
1029.360000,0.778,0.473
1233.230000,0.946,0.575
1437.100000,1.103,0.670
1640.960000,1.295,0.788
1844.820000,1.431,0.870
2048.680000,1.591,0.967
2252.540000,1.726,1.050
2456.400000,1.920,1.167
2660.250000,2.092,1.272
2864.100000,2.210,1.344
3067.950000,2.401,1.460
3271.800000,2.569,1.562
3475.650000,2.752,1.673
3679.500000,2.928,1.781
3883.340000,3.074,1.869
4087.180000,3.218,1.957
4291.020000,3.397,2.066
4494.860000,3.537,2.151
4698.690000,3.707,2.254
4902.530000,3.935,2.393
5106.360000,4.096,2.490
5310.190000,4.236,2.576
5514.020000,4.427,2.692
5717.850000,4.501,2.737
5921.670000,4.795,2.915
6125.490000,4.977,3.026
6329.310000,5.138,3.124
6533.130000,5.308,3.227
6736.950000,5.514,3.353
6940.770000,5.563,3.383
7144.580000,5.852,3.558
7348.390000,5.940,3.612
7552.200000,6.164,3.748
7756.010000,6.311,3.837
7959.820000,6.557,3.987
8163.620000,6.720,4.086
8367.420000,6.909,4.201
8571.220000,7.074,4.301
8775.020000,7.252,4.410
8978.820000,7.407,4.504
9182.620000,7.467,4.540
9386.410000,7.891,4.798
9590.200000,7.978,4.851
9793.990000,8.169,4.967
9997.780000,8.302,5.048
