U_0 = -1202.555628 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.007,0.007
213.880000,0.111,0.117
417.750000,0.217,0.228
621.620000,0.311,0.327
825.500000,0.403,0.423
1029.360000,0.521,0.547
1233.230000,0.610,0.641
1437.100000,0.747,0.785
1640.960000,0.803,0.843
1844.820000,0.907,0.953
2048.680000,1.009,1.060
2252.540000,1.156,1.214
2456.400000,1.232,1.295
2660.250000,1.361,1.430
2864.100000,1.377,1.447
3067.950000,1.511,1.588
3271.800000,1.659,1.743
3475.650000,1.740,1.828
3679.500000,1.824,1.916
3883.340000,1.966,2.065
4087.180000,2.115,2.222
4291.020000,2.111,2.218
4494.860000,2.281,2.396
4698.690000,2.359,2.479
4902.530000,2.485,2.611
5106.360000,2.575,2.706
5310.190000,2.678,2.814
5514.020000,2.690,2.826
5717.850000,2.810,2.953
5921.670000,2.925,3.073
6125.490000,3.128,3.286
6329.310000,3.182,3.343
6533.130000,3.155,3.315
6736.950000,3.327,3.496
6940.770000,3.420,3.593
7144.580000,3.522,3.701
7348.390000,3.554,3.734
7552.200000,3.800,3.993
7756.010000,3.772,3.964
7959.820000,4.029,4.233
8163.620000,4.113,4.322
8367.420000,4.152,4.362
8571.220000,4.156,4.366
8775.020000,4.240,4.455
8978.820000,4.461,4.687
9182.620000,4.515,4.744
9386.410000,4.678,4.915
9590.200000,4.672,4.909
9793.990000,5.013,5.268
9997.780000,5.033,5.288
