U_0 = -1924.089005 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.058,0.035
213.880000,1.232,0.749
417.750000,2.381,1.448
621.620000,3.553,2.160
825.500000,4.679,2.845
1029.360000,5.813,3.535
1233.230000,7.031,4.275
1437.100000,8.269,5.028
1640.960000,9.303,5.656
1844.820000,10.397,6.322
2048.680000,11.628,7.071
2252.540000,12.732,7.742
2456.400000,13.937,8.475
2660.250000,14.972,9.103
2864.100000,16.270,9.893
3067.950000,17.076,10.383
3271.800000,18.464,11.227
3475.650000,19.545,11.884
3679.500000,20.905,12.711
3883.340000,21.713,13.202
4087.180000,22.962,13.962
4291.020000,23.833,14.492
4494.860000,25.053,15.233
4698.690000,26.381,16.040
4902.530000,26.933,16.377
5106.360000,28.372,17.251
5310.190000,29.252,17.786
5514.020000,30.400,18.484
5717.850000,31.394,19.089
5921.670000,33.305,20.251
6125.490000,33.881,20.601
6329.310000,34.607,21.042
6533.130000,36.079,21.937
6736.950000,37.342,22.705
6940.770000,38.265,23.267
7144.580000,39.116,23.784
7348.390000,40.022,24.335
7552.200000,41.366,25.152
7756.010000,42.294,25.716
7959.820000,43.277,26.314
8163.620000,44.313,26.944
8367.420000,45.632,27.746
8571.220000,46.496,28.271
8775.020000,47.803,29.066
8978.820000,48.677,29.598
9182.620000,49.326,29.992
9386.410000,50.458,30.680
9590.200000,52.339,31.824
9793.990000,52.859,32.140
9997.780000,53.758,32.687
