U_0 = -1924.089005 A , d_sites = 4.170000 A
N_sites = 500. L = 29.481900 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.058,0.040
213.880000,1.235,0.851
417.750000,2.463,1.697
621.620000,3.843,2.647
825.500000,5.131,3.535
1029.360000,6.414,4.419
1233.230000,7.817,5.385
1437.100000,9.063,6.243
1640.960000,10.766,7.417
1844.820000,12.557,8.650
2048.680000,14.139,9.741
2252.540000,15.643,10.776
2456.400000,17.608,12.130
2660.250000,19.656,13.541
2864.100000,21.496,14.809
3067.950000,23.078,15.899
3271.800000,25.838,17.800
3475.650000,27.961,19.262
3679.500000,30.851,21.253
3883.340000,34.435,23.723
4087.180000,36.517,25.157
4291.020000,42.139,29.030
4494.860000,47.798,32.928
4698.690000,54.316,37.419
4902.530000,530.312,365.334
5106.360000,720.442,496.316
5310.190000,721.468,497.022
5514.020000,720.550,496.390
5717.850000,720.686,496.484
5921.670000,720.901,496.632
6125.490000,721.775,497.234
6329.310000,722.088,497.450
6533.130000,721.799,497.251
6736.950000,722.266,497.572
6940.770000,721.476,497.028
7144.580000,722.510,497.740
7348.390000,721.880,497.307
7552.200000,722.154,497.496
7756.010000,722.332,497.618
7959.820000,723.037,498.104
8163.620000,722.410,497.672
8367.420000,722.764,497.916
8571.220000,722.763,497.915
8775.020000,722.844,497.970
8978.820000,722.678,497.856
9182.620000,723.357,498.324
9386.410000,723.144,498.177
9590.200000,723.321,498.299
9793.990000,723.286,498.275
9997.780000,722.690,497.864
