U_0 = -1563.322317 A , d_sites = 4.170000 A
N_sites = 500. L = 29.481900 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.017,0.012
213.880000,0.376,0.259
417.750000,0.719,0.495
621.620000,1.076,0.741
825.500000,1.428,0.984
1029.360000,1.804,1.243
1233.230000,2.159,1.487
1437.100000,2.546,1.754
1640.960000,2.902,1.999
1844.820000,3.300,2.273
2048.680000,3.696,2.546
2252.540000,4.041,2.784
2456.400000,4.490,3.093
2660.250000,4.877,3.360
2864.100000,5.329,3.671
3067.950000,5.608,3.863
3271.800000,6.088,4.194
3475.650000,6.441,4.437
3679.500000,6.846,4.716
3883.340000,7.221,4.974
4087.180000,7.574,5.218
4291.020000,8.109,5.587
4494.860000,8.370,5.766
4698.690000,8.978,6.185
4902.530000,9.296,6.404
5106.360000,9.985,6.879
5310.190000,10.478,7.219
5514.020000,10.697,7.369
5717.850000,11.286,7.775
5921.670000,11.780,8.115
6125.490000,11.975,8.249
6329.310000,12.643,8.710
6533.130000,13.389,9.224
6736.950000,13.709,9.444
6940.770000,14.267,9.828
7144.580000,14.720,10.141
7348.390000,15.123,10.418
7552.200000,15.618,10.759
7756.010000,15.945,10.984
7959.820000,16.909,11.649
8163.620000,17.109,11.786
8367.420000,17.977,12.384
8571.220000,18.492,12.739
8775.020000,18.964,13.065
8978.820000,19.609,13.509
9182.620000,19.928,13.729
9386.410000,20.440,14.081
9590.200000,21.415,14.753
9793.990000,21.826,15.036
9997.780000,22.642,15.598
