U_0 = -1924.089005 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.056,0.059
213.880000,1.210,1.272
417.750000,2.301,2.417
621.620000,3.430,3.604
825.500000,4.402,4.625
1029.360000,5.676,5.964
1233.230000,6.793,7.138
1437.100000,7.586,7.971
1640.960000,8.573,9.008
1844.820000,9.594,10.080
2048.680000,10.547,11.081
2252.540000,11.248,11.818
2456.400000,12.249,12.870
2660.250000,12.966,13.624
2864.100000,14.374,15.102
3067.950000,14.947,15.705
3271.800000,15.890,16.696
3475.650000,16.449,17.282
3679.500000,17.580,18.472
3883.340000,18.165,19.085
4087.180000,19.316,20.295
4291.020000,19.724,20.724
4494.860000,20.754,21.806
4698.690000,21.276,22.355
4902.530000,21.926,23.037
5106.360000,22.762,23.916
5310.190000,23.151,24.325
5514.020000,23.504,24.696
5717.850000,24.354,25.588
5921.670000,25.157,26.433
6125.490000,26.410,27.749
6329.310000,26.830,28.190
6533.130000,27.486,28.879
6736.950000,28.010,29.430
6940.770000,29.017,30.488
7144.580000,29.118,30.594
7348.390000,29.300,30.785
7552.200000,30.305,31.841
7756.010000,30.655,32.209
7959.820000,31.290,32.876
8163.620000,31.580,33.181
8367.420000,32.363,34.004
8571.220000,33.301,34.990
8775.020000,33.687,35.395
8978.820000,34.478,36.226
9182.620000,35.385,37.179
9386.410000,34.499,36.248
9590.200000,35.425,37.221
9793.990000,35.855,37.672
9997.780000,36.815,38.681
