U_0 = -841.788940 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.001,0.001
213.880000,0.032,0.019
417.750000,0.066,0.040
621.620000,0.094,0.057
825.500000,0.123,0.075
1029.360000,0.157,0.096
1233.230000,0.188,0.115
1437.100000,0.227,0.138
1640.960000,0.244,0.148
1844.820000,0.282,0.171
2048.680000,0.311,0.189
2252.540000,0.340,0.206
2456.400000,0.376,0.228
2660.250000,0.394,0.239
2864.100000,0.441,0.268
3067.950000,0.468,0.284
3271.800000,0.501,0.305
3475.650000,0.540,0.329
3679.500000,0.561,0.341
3883.340000,0.590,0.359
4087.180000,0.620,0.377
4291.020000,0.666,0.405
4494.860000,0.673,0.409
4698.690000,0.728,0.443
4902.530000,0.744,0.452
5106.360000,0.787,0.478
5310.190000,0.821,0.499
5514.020000,0.831,0.505
5717.850000,0.877,0.534
5921.670000,0.883,0.537
6125.490000,0.926,0.563
6329.310000,0.962,0.585
6533.130000,1.010,0.614
6736.950000,1.052,0.640
6940.770000,1.069,0.650
7144.580000,1.086,0.660
7348.390000,1.092,0.664
7552.200000,1.135,0.690
7756.010000,1.171,0.712
7959.820000,1.229,0.747
8163.620000,1.248,0.759
8367.420000,1.277,0.777
8571.220000,1.287,0.782
8775.020000,1.340,0.815
8978.820000,1.354,0.823
9182.620000,1.403,0.853
9386.410000,1.431,0.870
9590.200000,1.472,0.895
9793.990000,1.487,0.904
9997.780000,1.537,0.935
