U_0 = -1563.322317 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.018,0.019
213.880000,0.356,0.374
417.750000,0.727,0.764
621.620000,1.022,1.073
825.500000,1.410,1.482
1029.360000,1.661,1.745
1233.230000,2.086,2.191
1437.100000,2.411,2.534
1640.960000,2.674,2.810
1844.820000,3.045,3.200
2048.680000,3.339,3.509
2252.540000,3.862,4.057
2456.400000,4.047,4.252
2660.250000,4.333,4.553
2864.100000,4.568,4.799
3067.950000,5.166,5.428
3271.800000,5.215,5.480
3475.650000,5.650,5.937
3679.500000,6.071,6.379
3883.340000,6.379,6.702
4087.180000,6.616,6.951
4291.020000,7.012,7.367
4494.860000,7.344,7.717
4698.690000,7.633,8.020
4902.530000,7.945,8.348
5106.360000,8.194,8.610
5310.190000,8.416,8.842
5514.020000,8.716,9.158
5717.850000,9.036,9.495
5921.670000,9.368,9.843
6125.490000,9.498,9.980
6329.310000,9.951,10.455
6533.130000,10.357,10.882
6736.950000,10.615,11.153
6940.770000,10.806,11.354
7144.580000,11.256,11.826
7348.390000,11.751,12.346
7552.200000,11.634,12.224
7756.010000,11.857,12.458
7959.820000,12.449,13.080
8163.620000,13.007,13.666
8367.420000,13.041,13.702
8571.220000,13.421,14.101
8775.020000,13.616,14.306
8978.820000,13.388,14.066
9182.620000,14.083,14.797
9386.410000,14.566,15.305
9590.200000,14.563,15.301
9793.990000,14.623,15.364
9997.780000,14.899,15.655
