U_0 = -1082.300066 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.003,0.002
213.880000,0.073,0.044
417.750000,0.138,0.084
621.620000,0.213,0.129
825.500000,0.284,0.173
1029.360000,0.357,0.217
1233.230000,0.417,0.254
1437.100000,0.494,0.300
1640.960000,0.563,0.342
1844.820000,0.618,0.376
2048.680000,0.709,0.431
2252.540000,0.772,0.469
2456.400000,0.850,0.517
2660.250000,0.899,0.547
2864.100000,0.992,0.603
3067.950000,1.062,0.646
3271.800000,1.134,0.690
3475.650000,1.185,0.720
3679.500000,1.270,0.772
3883.340000,1.355,0.824
4087.180000,1.406,0.855
4291.020000,1.470,0.894
4494.860000,1.547,0.941
4698.690000,1.649,1.003
4902.530000,1.707,1.038
5106.360000,1.749,1.063
5310.190000,1.855,1.128
5514.020000,1.927,1.172
5717.850000,2.023,1.230
5921.670000,2.083,1.266
6125.490000,2.124,1.292
6329.310000,2.204,1.340
6533.130000,2.285,1.389
6736.950000,2.347,1.427
6940.770000,2.434,1.480
7144.580000,2.525,1.535
7348.390000,2.575,1.565
7552.200000,2.659,1.617
7756.010000,2.758,1.677
7959.820000,2.777,1.688
8163.620000,2.914,1.772
8367.420000,2.998,1.823
8571.220000,3.002,1.825
8775.020000,3.125,1.900
8978.820000,3.146,1.913
9182.620000,3.235,1.967
9386.410000,3.341,2.032
9590.200000,3.373,2.051
9793.990000,3.487,2.120
9997.780000,3.556,2.162
