U_0 = -481.022251 A , d_sites = 4.170000 A
N_sites = 500. L = 29.481900 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.001,0.000
213.880000,0.009,0.006
417.750000,0.018,0.013
621.620000,0.028,0.019
825.500000,0.039,0.027
1029.360000,0.046,0.032
1233.230000,0.056,0.038
1437.100000,0.063,0.043
1640.960000,0.075,0.052
1844.820000,0.086,0.059
2048.680000,0.093,0.064
2252.540000,0.101,0.069
2456.400000,0.109,0.075
2660.250000,0.122,0.084
2864.100000,0.128,0.088
3067.950000,0.136,0.094
3271.800000,0.144,0.099
3475.650000,0.165,0.114
3679.500000,0.172,0.118
3883.340000,0.178,0.122
4087.180000,0.182,0.126
4291.020000,0.201,0.138
4494.860000,0.211,0.145
4698.690000,0.210,0.145
4902.530000,0.224,0.155
5106.360000,0.233,0.160
5310.190000,0.241,0.166
5514.020000,0.249,0.171
5717.850000,0.268,0.185
5921.670000,0.272,0.187
6125.490000,0.281,0.194
6329.310000,0.284,0.196
6533.130000,0.304,0.210
6736.950000,0.305,0.210
6940.770000,0.319,0.220
7144.580000,0.336,0.231
7348.390000,0.327,0.225
7552.200000,0.350,0.241
7756.010000,0.359,0.247
7959.820000,0.361,0.249
8163.620000,0.371,0.256
8367.420000,0.380,0.262
8571.220000,0.393,0.270
8775.020000,0.395,0.272
8978.820000,0.406,0.280
9182.620000,0.417,0.287
9386.410000,0.418,0.288
9590.200000,0.434,0.299
9793.990000,0.448,0.309
9997.780000,0.454,0.313
