U_0 = -2826.005727 A , d_sites = 10.000000 A
N_sites = 32. L = 28.280000 A
N_trials = 6400 , N_equil = 1280
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,1.148,0.698
213.880000,16.889,10.269
417.750000,25.765,15.666
621.620000,30.003,18.243
825.500000,33.630,20.448
1029.360000,37.439,22.764
1233.230000,39.244,23.862
1437.100000,40.185,24.434
1640.960000,41.074,24.975
1844.820000,42.314,25.729
2048.680000,43.126,26.222
2252.540000,43.485,26.441
2456.400000,44.700,27.179
2660.250000,45.755,27.821
2864.100000,46.143,28.057
3067.950000,46.467,28.254
3271.800000,46.693,28.391
3475.650000,46.593,28.330
3679.500000,47.666,28.983
3883.340000,47.568,28.923
4087.180000,47.381,28.810
4291.020000,48.109,29.252
4494.860000,48.349,29.398
4698.690000,48.265,29.347
4902.530000,48.501,29.490
5106.360000,47.982,29.175
5310.190000,48.624,29.565
5514.020000,48.330,29.387
5717.850000,48.900,29.733
5921.670000,48.489,29.483
6125.490000,49.652,30.190
6329.310000,49.347,30.005
6533.130000,49.637,30.181
6736.950000,49.186,29.907
6940.770000,49.711,30.226
7144.580000,49.243,29.941
7348.390000,50.043,30.428
7552.200000,50.085,30.454
7756.010000,49.280,29.964
7959.820000,50.368,30.626
8163.620000,50.252,30.555
8367.420000,49.917,30.351
8571.220000,50.206,30.527
8775.020000,50.239,30.547
8978.820000,50.579,30.754
9182.620000,50.179,30.511
9386.410000,49.934,30.362
9590.200000,49.778,30.267
9793.990000,50.804,30.891
9997.780000,50.395,30.642
