U_0 = -841.788940 A , d_sites = 8.000000 A
N_sites = 108. L = 33.936000 A
N_trials = 21600 , N_equil = 4320
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.001,0.001
213.880000,0.028,0.029
417.750000,0.057,0.060
621.620000,0.092,0.097
825.500000,0.115,0.121
1029.360000,0.144,0.151
1233.230000,0.180,0.189
1437.100000,0.220,0.231
1640.960000,0.250,0.263
1844.820000,0.271,0.285
2048.680000,0.314,0.330
2252.540000,0.348,0.365
2456.400000,0.381,0.401
2660.250000,0.387,0.406
2864.100000,0.431,0.453
3067.950000,0.450,0.473
3271.800000,0.507,0.533
3475.650000,0.524,0.550
3679.500000,0.527,0.553
3883.340000,0.579,0.608
4087.180000,0.611,0.642
4291.020000,0.652,0.685
4494.860000,0.656,0.690
4698.690000,0.690,0.725
4902.530000,0.722,0.758
5106.360000,0.761,0.799
5310.190000,0.810,0.851
5514.020000,0.826,0.868
5717.850000,0.844,0.886
5921.670000,0.875,0.920
6125.490000,0.915,0.962
6329.310000,0.952,1.001
6533.130000,0.982,1.032
6736.950000,0.982,1.032
6940.770000,1.017,1.069
7144.580000,1.088,1.143
7348.390000,1.103,1.159
7552.200000,1.112,1.169
7756.010000,1.141,1.199
7959.820000,1.204,1.265
8163.620000,1.256,1.320
8367.420000,1.282,1.346
8571.220000,1.291,1.356
8775.020000,1.309,1.375
8978.820000,1.338,1.406
9182.620000,1.375,1.445
9386.410000,1.433,1.506
9590.200000,1.444,1.517
9793.990000,1.449,1.522
9997.780000,1.514,1.591
