U_0 = -1443.066754 A , d_sites = 4.000000 A
N_sites = 500. L = 28.280000 A
N_trials = 100000 , N_equil = 20000
Pressure(bar),Loading(vSTP/v),Loading(Molecules_per_UC)
10.000000,0.011,0.007
213.880000,0.249,0.152
417.750000,0.479,0.291
621.620000,0.728,0.442
825.500000,0.951,0.578
1029.360000,1.182,0.719
1233.230000,1.435,0.872
1437.100000,1.657,1.007
1640.960000,1.956,1.189
1844.820000,2.151,1.308
2048.680000,2.380,1.447
2252.540000,2.640,1.605
2456.400000,2.882,1.752
2660.250000,3.115,1.894
2864.100000,3.364,2.045
3067.950000,3.649,2.219
3271.800000,3.903,2.373
3475.650000,4.143,2.519
3679.500000,4.436,2.697
3883.340000,4.690,2.852
4087.180000,4.915,2.988
4291.020000,5.208,3.167
4494.860000,5.478,3.331
4698.690000,5.610,3.411
4902.530000,5.941,3.613
5106.360000,6.279,3.818
5310.190000,6.452,3.923
5514.020000,6.838,4.158
5717.850000,6.966,4.236
5921.670000,7.257,4.412
6125.490000,7.726,4.698
6329.310000,7.985,4.855
6533.130000,8.290,5.041
6736.950000,8.478,5.155
6940.770000,8.661,5.266
7144.580000,8.909,5.417
7348.390000,9.275,5.639
7552.200000,9.524,5.791
7756.010000,9.783,5.948
7959.820000,10.234,6.223
8163.620000,10.471,6.367
8367.420000,10.607,6.449
8571.220000,10.909,6.633
8775.020000,11.344,6.898
8978.820000,11.586,7.045
9182.620000,11.895,7.233
9386.410000,12.086,7.349
9590.200000,12.421,7.553
9793.990000,12.773,7.767
9997.780000,13.039,7.928
